npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
NY0026336,110000541227,NIAGARA FALLS,NY,14303-1514,41201040605,43.086306,-79.069611,POTW,M,9,36346,28.2,68
NY0029831,110000709207,OGDENSBURG,NY,13669,41503010202,44.7055,-75.487972,POTW,M,17,41965,22.7,84.6
NY0029114,110019768296,OSWEGO,NY,13126,41401021004,43.469444,-76.498056,POTW,M,7,43258,26.7,92.4
NY0026018,110002345310,PLATTSBURGH,NY,12901-3052,41504081604,44.698611,-73.445667,POTW,M,14,49065,21.1,88.7
NY0020818,110006621423,POTSDAM,NY,13676,41503050703,44.679278,-74.994333,POTW,M,1,32282,26.5,83.2
NY0026255,110000576813,POUGHKEEPSIE,NY,12601-1757,20200080106,41.716056,-73.939917,POTW,M,6,43794,19.4,46.9
NY0026026,110010763815,RENSSELAER,NY,12144,20200060303,42.64286,-73.74307,POTW,N,8,55912,13.8,80.1
NY0028339,110000737481,ROCHESTER,NY,14617,41401010706,43.2311,-77.5849,POTW,M,6,35590,31.3,47.9
NY0026221,110008108001,ROCKAWAY PARK,NY,11694,20302020103,40.584472,-73.829944,POTW,M,18,84485,12.6,44.7
NY0020508,110010605103,SALAMANCA,NY,14779-1072,50100010804,42.16402,-78.74452,POTW,M,1,31934,27.6,69.3
NY0020516,110019060763,SCHENECTADY,NY,12308-1021,20200041108,42.840167,-73.918222,POTW,M,2,45438,19.4,56.5
NY0026174,110002041255,STATEN ISLAND,NY,10306,20301040404,40.548389,-74.11225,POTW,M,37,82783,9.1,74.5
NY0027081,110000760524,SYRACUSE,NY,13204-1123,41402011509,43.06279,-76.17581,POTW,M,62,38276,31,54.8
NY0036706,110008097353,TICONDEROGA,NY,12883-1354,41504080206,43.84879,-73.42433,POTW,M,2,48229,9.9,97.9
NY0099309,110009827367,TROY,NY,12182-4801,20200031106,42.7835,-73.652417,POTW,N,49,45728,24.4,68.1
NY0029939,110006621511,TUPPER LAKE,NY,12986,41503050409,44.230222,-74.481694,POTW,M,2,53202,10.9,92.5
NY0025780,110000555612,UTICA,NY,13502,20200040311,43.099583,-75.194778,POTW,M,82,37760,29.4,62.4
NY0024414,110006620745,VESTAL,NY,13850-3537,20501030201,42.098167,-75.966361,POTW,M,1,67910,15,81.6
NY0026131,110042069123,WARDS ISLAND,NY,10035,20301010405,40.787833,-73.919139,POTW,M,78,63998,17.9,42.7
NY0029173,110004331303,WATERFORD,NY,12188-2221,20200041110,42.787833,-73.684583,POTW,M,4,52457,11,88.9
NY0025984,110010583573,WATERTOWN,NY,13601-4813,41501011404,43.989472,-75.926361,POTW,M,17,40253,22.9,83.8
